rating,shown,time,price,address,subway,minutes_to_subway,rooms,total_area,balcony,type_of_renovation,type_of_house,link,cur_floor,cnt_floors,sqmeter_price
,,23-июля-в-20:01,10000000,"Санкт-Петербург, ул. Белы Куна, 15к1",Международная,15,3,54.0,балкон,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_545m_59et._2490372545,5,9,185185.0
,,23-июля-в-20:01,9400000,"Санкт-Петербург, пос. Парголово, ул. Архитектора Белова, 9с1",Парнас,20,2,47.0,балкон,евро,монолитно-кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_474m_1727et._2490478833,17,27,200000.0
,,23-июля-в-19:51,8900000,"Санкт-Петербург, пр-т Луначарского, 62к1",Озерки,20,3,57.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_579m_79et._2310893910,7,9,156140.0
,,23-июля-в-19:48,7800000,"Санкт-Петербург, ул. Руднева, 28к1",Проспект Просвещения,31,3,60.0,лоджия,косметический,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_605m_89et._2407528918,8,9,130000.0
,,23-июля-в-19:43,7700000,"Санкт-Петербург, Будапештская ул., 17к1",Международная,10,2,45.0,балкон,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_457m_35et._2429791652,3,5,171111.0
,,23-июля-в-19:10,7990000,"Санкт-Петербург, Омская ул., 10",Пионерская,20,2,44.0,балкон,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_446m_25et._2362675006,2,5,181590.0
,,23-июля-в-18:52,8999000,"Санкт-Петербург, пр-т Маршала Жукова, 28к3",Автово,30,3,60.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_602m_69et._2440962516,6,9,149983.0
,,23-июля-в-18:50,9490000,"Санкт-Петербург, Ленинский пр-т, 114",Проспект Ветеранов,20,2,67.0,балкон,косметический,монолитно-кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_67m_425et._2492535901,4,25,141641.0
,,23-июля-в-18:25,7800000,"Санкт-Петербург, пр-т Просвещения, 69",Гражданский проспект,20,2,50.0,балкон,косметический,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50m_810et._2495471160,8,10,156000.0
,,23-июля-в-18:18,7500000,"Санкт-Петербург, Серпуховская ул., 23",Технологический ин-т I,10,2,39.0,нет,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_399m_45et._2504395632,4,5,192307.0
,,23-июля-в-17:39,8150000,"Санкт-Петербург, ул. Орджоникидзе, 10",Московская,10,2,42.0,балкон,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_42m_25et._2362687621,2,5,194047.0
,,23-июля-в-17:34,6690000,"Санкт-Петербург, б-р Новаторов, 64",Ленинский проспект,15,2,41.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_417m_49et._2478970843,4,9,163170.0
,,23-июля-в-17:31,8350000,"Санкт-Петербург, Белградская ул., 32",Проспект Славы,30,2,44.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_44m_19et._2430617137,1,9,189772.0
,,23-июля-в-17:29,9300000,"Санкт-Петербург, ул. Веденеева, 4",Политехническая,30,2,53.0,лоджия,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_535m_412et._2445239274,4,12,175471.0
