,id,rating,time,price,sqmeter_price,address,subway,rooms,minutes_to_subway,total_area,balcony,type_of_renovation,type_of_house,link,cur_floor,cnt_floors,shown
367,368,187.64449317187552,21-июля-в-16:08,6800000,165853,"Санкт-Петербург, пр-т Ветеранов, 10",Проспект Ветеранов,3,10,41.0,нет,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_418m_15et._2254103565,1,5,
368,369,189.57341514647482,21-июля-в-16:05,8790000,156964,"Санкт-Петербург, Октябрьская наб., 122к2",Обухово,3,31,56.0,балкон,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_563m_25et._2491985419,2,5,
369,370,196.41666490190568,21-июля-в-16:00,6199999,137777,"Санкт-Петербург, Замшина ул., 72",Площадь Мужества,2,31,45.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_456m_35et._2442766727,3,5,
370,371,187.90329474089384,21-июля-в-15:57,8900000,158928,"Санкт-Петербург, Индустриальный пр-т, 20к1",Ладожская,3,31,56.0,лоджия,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_565m_49et._2464860620,4,9,
371,372,210.9156355794591,21-июля-в-15:38,9300000,166071,"Санкт-Петербург, Литовская ул., 9",Выборгская,3,15,56.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_563m_45et._2279445039,4,5,
372,373,138.99478067451417,21-июля-в-15:33,7500000,144230,"Санкт-Петербург, Чарушинская ул., 10",Гражданский проспект,2,31,52.0,лоджия,косметический,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_521m_1225et._2478279375,12,25,
373,374,156.65963789885365,21-июля-в-15:27,8300000,148214,"Санкт-Петербург, Пушкинский р-н, пос. Шушары, Вилеровский пер., 6",Купчино,2,31,56.0,балкон,евро,монолитно-кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_563m_918et._2403716739,9,18,
374,375,172.85287813027213,21-июля-в-15:26,6800000,151111,"Санкт-Петербург, пр-т Ветеранов, 1к1",Проспект Ветеранов,2,10,45.0,лоджия,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_453m_19et._2537946655,1,9,
375,376,150.96195665823902,21-июля-в-15:26,9000000,150000,"Санкт-Петербург, Тимуровская ул., 12",Гражданский проспект,3,30,60.0,лоджия,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_60m_89et._2344681199,8,9,
376,377,176.9612032302339,21-июля-в-14:56,8600000,145762,"Санкт-Петербург, ул. Партизана Германа, 12",Проспект Ветеранов,3,31,59.0,балкон,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_592m_59et._2497672851,5,9,
377,378,186.7629735325454,21-июля-в-14:55,9499000,163775,"Санкт-Петербург, Купчинская ул., 19к1",Купчино,3,20,58.0,"балкон, лоджия",косметический,монолитно-кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_585m_59et._2398964276,5,9,
378,379,197.2026384857953,21-июля-в-14:43,9490000,215681,"Санкт-Петербург, пр-т Космонавтов, 18к2",Парк Победы,2,30,44.0,лоджия,дизайнерский,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_446m_25et._2381224736,2,5,
379,380,165.55374393857048,21-июля-в-14:32,8900000,141269,"Санкт-Петербург, Брестский б-р, 13",Проспект Ветеранов,2,31,63.0,лоджия,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_635m_414et._2476533113,4,14,
380,381,136.07902856053977,21-июля-в-14:26,10000000,192307,"Санкт-Петербург, Русановская ул., 18к6",Обухово,2,31,52.0,лоджия,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_528m_1624et._2491587964,16,24,
381,382,199.33455744328316,21-июля-в-14:23,9990000,146911,"Санкт-Петербург, пр-т Луначарского, 1к2",Озерки,3,15,68.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_688m_218et._2476036684,2,18,
382,383,190.52298388593437,21-июля-в-14:16,9800000,166101,"Санкт-Петербург, Курляндская ул., 20",Балтийская,2,15,59.0,нет,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_599m_56et._2362108744,5,6,
383,384,172.94596788443926,21-июля-в-14:15,10000000,172413,"Санкт-Петербург, Бестужевская ул., 33к1",Площадь Мужества,2,31,58.0,балкон,евро,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_583m_414et._2410235311,4,14,
384,385,190.52298388593437,21-июля-в-14:16,9800000,166101,"Санкт-Петербург, Курляндская ул., 20",Балтийская,2,15,59.0,нет,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_599m_56et._2362108744,5,6,
385,386,172.94596788443926,21-июля-в-14:15,10000000,172413,"Санкт-Петербург, Бестужевская ул., 33к1",Площадь Мужества,2,31,58.0,балкон,евро,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_583m_414et._2410235311,4,14,
386,387,204.30730248087258,21-июля-в-14:01,7500000,170454,"Санкт-Петербург, ул. Белы Куна, 15к2",Международная,2,15,44.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_448m_45et._2490362981,4,5,
387,388,236.33475900348333,21-июля-в-13:43,7700000,160416,"Санкт-Петербург, Учебный пер., 6к1",Озерки,2,15,48.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_489m_39et._2382418427,3,9,
388,389,189.3702977629085,21-июля-в-13:27,6900000,153333,"Санкт-Петербург, Краснопутиловская ул., 74",Московская,2,30,45.0,нет,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_452m_35et._2458810600,3,5,
389,390,170.3974330650785,21-июля-в-13:23,9700000,190196,"Санкт-Петербург, Загребский б-р, 23к2",Дунайская,2,10,51.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_513m_79et._2500526383,7,9,
390,391,192.23148000595413,21-июля-в-13:17,9400000,200000,"Санкт-Петербург, ул. Коллонтай, 19к3",Проспект Большевиков,2,10,47.0,балкон,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_471m_314et._2362428854,3,14,
391,392,187.64476632367396,21-июля-в-13:16,8200000,136666,"Санкт-Петербург, пр-т Мечникова, 17",Площадь Мужества,3,31,60.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_60m_25et._2491889031,2,5,
392,393,174.77784418114868,21-июля-в-13:12,5330000,130000,"Санкт-Петербург, Тепловозная ул., 31",Рыбацкое,2,5,41.0,лоджия,требует ремонта,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_41m_1017et._2449836010,10,17,
393,394,184.1289684122941,21-июля-в-13:04,6300000,131250,"Санкт-Петербург, пр-т Ветеранов, 105",Проспект Ветеранов,2,31,48.0,балкон,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_48m_39et._2460825670,3,9,
394,395,152.15266536456386,21-июля-в-12:47,8700000,164150,"Санкт-Петербург, Пейзажная ул., 16к1",Гражданский проспект,2,31,53.0,лоджия,дизайнерский,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_53m_2425et._2496502533,24,25,
395,396,177.13823135929596,21-июля-в-12:30,5800000,126086,"Санкт-Петербург, Народная ул., 11",Ломоносовская,2,20,46.0,нет,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_464m_15et._2438751289,1,5,
396,397,232.780546295895,21-июля-в-12:23,8400000,190909,"Санкт-Петербург, Гаврская ул., 11",Удельная,2,15,44.0,балкон,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_443m_39et._2519847341,3,9,
397,398,171.5480625389954,21-июля-в-12:23,7700000,135087,"Ленинградская область, Всеволожский р-н, Муринское городское поселение, Мурино, Привокзальная пл., 5Ак1",Девяткино,2,5,57.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_57m_620et._1779724306,6,20,
398,399,197.56315516902941,21-июля-в-12:19,7250000,142156,"Санкт-Петербург, Колпинский р-н, пос. Металлострой, ул. Богайчука, 22",Рыбацкое,2,31,51.0,лоджия,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_51m_35et._2487814516,3,5,
399,400,143.2166266664686,21-июля-в-12:15,6500000,144444,"Санкт-Петербург, пр-т Славы, 10к5",Проспект Славы,2,20,45.0,нет,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_452m_15et._2472488843,1,5,
400,401,158.95668125330081,21-июля-в-12:06,9080000,151333,"Санкт-Петербург, Ленинский пр-т, 110к1",Проспект Ветеранов,3,30,60.0,нет,требует ремонта,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_60m_39et._2514558186,3,9,
401,402,184.53939996391648,21-июля-в-11:57,6650000,158333,"Санкт-Петербург, ул. Партизана Германа, 35к1",Проспект Ветеранов,2,31,42.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_426m_35et._2476975621,3,5,
402,403,188.52525340680864,21-июля-в-11:41,7650000,166304,"Санкт-Петербург, Петергофское ш., 11/21",Проспект Ветеранов,2,31,46.0,лоджия,евро,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_46m_29et._2410344203,2,9,
403,404,156.57243554939913,21-июля-в-11:34,8650000,160185,"Санкт-Петербург, Пулковское ш., 42к9",Звёздная,2,31,54.0,лоджия,евро,монолитно-кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_543m_115et._2412133458,1,15,
404,405,164.97997555143624,21-июля-в-11:29,8700000,170588,"Санкт-Петербург, Старо-Петергофский пр-т, 41",Нарвская,3,5,51.0,нет,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_51m_14et._2390367024,1,4,
405,406,164.8335792301156,21-июля-в-11:54,8300000,166000,"Санкт-Петербург, ул. Вавиловых, 8к1",Академическая,2,15,50.0,балкон,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50m_89et._2347210067,8,9,
406,407,188.52525340680864,21-июля-в-11:41,7650000,166304,"Санкт-Петербург, Петергофское ш., 11/21",Проспект Ветеранов,2,31,46.0,лоджия,евро,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_46m_29et._2410344203,2,9,
407,408,156.57243554939913,21-июля-в-11:34,8650000,160185,"Санкт-Петербург, Пулковское ш., 42к9",Звёздная,2,31,54.0,лоджия,евро,монолитно-кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_543m_115et._2412133458,1,15,
408,409,164.97997555143624,21-июля-в-11:29,8700000,170588,"Санкт-Петербург, Старо-Петергофский пр-т, 41",Нарвская,3,5,51.0,нет,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_51m_14et._2390367024,1,4,
409,410,214.08612127655462,21-июля-в-11:18,6290000,139777,"Санкт-Петербург, пр-т Науки, 13к1",Политехническая,2,15,45.0,нет,косметический,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_454m_25et._2456984536,2,5,
410,411,119.31360870124797,21-июля-в-10:57,9000000,103448,"Санкт-Петербург, Пушкинский р-н, пос. Шушары, Новгородский пр-т, 2к1",Купчино,3,31,87.0,балкон,требует ремонта,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_875m_1425et._2440619187,14,25,
411,412,232.71860291979104,21-июля-в-10:52,8900000,145901,"Санкт-Петербург, ул. Седова, 104",Ломоносовская,3,15,61.0,нет,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_616m_25et._2499890841,2,5,
412,413,144.58412027930618,21-июля-в-10:52,6450000,140217,"Санкт-Петербург, Ключевая ул., 5",Площадь Мужества,2,31,46.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_463m_15et._2319458913,1,5,
413,414,203.50007242674673,21-июля-в-10:50,7800000,169565,"Санкт-Петербург, ул. Подводника Кузьмина, 23",Проспект Ветеранов,2,15,46.0,балкон,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_465m_39et._2474847555,3,9,
414,415,151.38488017837693,21-июля-в-10:46,8250000,155660,"Санкт-Петербург, ул. Ярослава Гашека, 2",Купчино,2,10,53.0,балкон,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_53m_1214et._2429556349,12,14,
415,416,157.3506450537752,21-июля-в-10:25,8300000,122058,"Санкт-Петербург, ул. Десантников, 28",Проспект Ветеранов,3,31,68.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_68m_69et._2497596279,6,9,
416,417,170.33812389349163,21-июля-в-10:09,10000000,181818,"Санкт-Петербург, ул. Коллонтай, 23к2",Проспект Большевиков,2,10,55.0,балкон,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_557m_1012et._2433779749,10,12,
417,418,167.98589485642552,21-июля-в-09:46,9000000,173076,"Санкт-Петербург, пер. Макаренко, 5",Технологический ин-т I,2,20,52.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_52m_14et._2265845676,1,4,
418,419,166.8622369895901,21-июля-в-09:46,9900000,152307,"Санкт-Петербург, Дунайский пр-т, 43к1",Дунайская,3,15,65.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_654m_59et._2493235958,5,9,
419,420,147.2266026922057,21-июля-в-09:27,8700000,152631,"Санкт-Петербург, Русановская ул., 16к1",Обухово,2,31,57.0,нет,евро,монолитно-кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_57m_1221et._2426057550,12,21,
420,421,167.48923860796083,21-июля-в-09:16,8500000,141666,"Санкт-Петербург, ул. Есенина, 15к1",Проспект Просвещения,3,15,60.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_604m_19et._2457959338,1,9,
421,422,174.28599761059544,21-июля-в-08:49,6550000,145555,"Санкт-Петербург, Пискарёвский пр-т, 56к3",Академическая,2,31,45.0,балкон,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_45m_25et._2480810631,2,5,
422,423,141.07869028459515,21-июля-в-08:12,8230000,158269,"Санкт-Петербург, Малая Балканская ул., 40к1",Купчино,2,30,52.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_522m_19et._2393441180,1,9,
423,424,243.57477507291622,21-июля-в-08:12,7490000,178333,"Санкт-Петербург, Костромской пр-т, 56",Удельная,2,15,42.0,лоджия,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_422m_35et._2392862458,3,5,
424,425,216.36191265962321,21-июля-в-07:58,7400000,168181,"Санкт-Петербург, Будапештская ул., 56",Проспект Славы,2,15,44.0,балкон,косметический,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_446m_35et._2169049948,3,5,
425,426,168.9163436849193,21-июля-в-06:48,8000000,140350,"Санкт-Петербург, Камышовая ул., 28к1",Комендантский проспект,2,30,57.0,лоджия,косметический,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_57m_69et._2452298453,6,9,
426,427,227.3430569236752,21-июля-в-06:45,5990000,139302,"Санкт-Петербург, Дачный пр-т, 27к2",Проспект Ветеранов,2,10,43.0,балкон,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_435m_45et._2423921957,4,5,
427,428,141.5162813216712,21-июля-в-02:47,8800000,166037,"Санкт-Петербург, пос. Парголово, ул. Николая Рубцова, 13",Парнас,2,20,53.0,нет,евро,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_538m_1028et._2426595785,10,28,
428,429,189.25189757538806,21-июля-в-02:24,9000000,155172,"Санкт-Петербург, пр-т Художников, 5к1",Озерки,3,20,58.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_58m_19et._1858340169,1,9,
429,430,151.305348475935,21-июля-в-02:23,7900000,158000,"Санкт-Петербург, Шлиссельбургский пр-т, 20к2",Рыбацкое,2,15,50.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_506m_19et._2456341035,1,9,
430,431,203.37736291956148,21-июля-в-02:05,6800000,165853,"Санкт-Петербург, ул. Турку, 8к2",Международная,3,10,41.0,нет,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_417m_35et._2347588827,3,5,
